speaker,item,duration,V1,stress
PL01,rzepa,0.1044,e,stressed
PL01,kuma,0.07,u,stressed
PL01,babochlop,0.0743,a,unstressed
PL01,rzepaku,0.0691,e,unstressed
PL01,zywo,0.07,y,stressed
PL01,nowo,0.1128,o,stressed
PL01,sumo,0.1086,u,stressed
PL01,popa,0.0783,o,stressed
PL01,papa,0.0818,a,stressed
PL01,zima,0.079,i,stressed
PL01,popada,0.0536,o,unstressed
PL01,cumowac,0.047,u,unstressed
PL01,bywa,0.11,y,stressed
PL01,kumaty,0.0477,u,unstressed
PL01,nieborak,0.0367,e,unstressed
PL01,papaja,0.0606,a,unstressed
PL01,mimoza,0.07,i,unstressed
PL01,babo,0.1276,a,stressed
PL01,zywotnie,0.06,y,unstressed
PL01,niebo,0.0677,e,stressed
PL01,bywalec,0.0839,y,unstressed
PL01,zimami,0.0494,i,unstressed
PL01,mimo,0.1187,i,stressed
PL01,rzepa,0.094,e,stressed
PL01,kuma,0.0764,u,stressed
PL01,babochlop,0.07,a,unstressed
PL01,rzepaku,0.0667,e,unstressed
PL01,zywo,0.1046,y,stressed
PL01,nowo,0.1129,o,stressed
PL01,sumo,0.0958,u,stressed
PL01,popa,0.0837,o,stressed
PL01,papa,0.0952,a,stressed
PL01,zima,0.0619,i,stressed
PL01,popada,0.0522,o,unstressed
PL01,cumowac,0.0473,u,unstressed
PL01,bywa,0.1233,y,stressed
PL01,kumaty,0.0473,u,unstressed
PL01,nieborak,0.0388,e,unstressed
PL01,papaja,0.0528,a,unstressed
PL01,mimoza,0.0619,i,unstressed
PL01,babo,0.1122,a,stressed
PL01,zywotnie,0.0723,y,unstressed
PL01,niebo,0.037,e,stressed
PL01,bywalec,0.094,y,unstressed
PL01,zimami,0.06,i,unstressed
PL01,mimo,0.1163,i,stressed
PL01,rzepa,0.0746,e,stressed
PL01,kuma,0.0752,u,stressed
PL01,babochlop,0.0692,a,unstressed
PL01,rzepaku,0.0497,e,unstressed
PL01,zywo,0.0861,y,stressed
PL01,nowo,0.0886,o,stressed
PL01,sumo,0.0873,u,stressed
PL01,popa,0.0728,o,stressed
PL01,papa,0.0873,a,stressed
PL01,zima,0.0837,i,stressed
PL01,popada,0.0467,o,unstressed
PL01,cumowac,0.0274,u,unstressed
PL01,bywa,0.1092,y,stressed
PL01,kumaty,0.0364,u,unstressed
PL01,nieborak,0.0209,e,unstressed
PL01,papaja,0.0559,a,unstressed
PL01,mimoza,0.0625,i,unstressed
PL01,babo,0.12,a,stressed
PL01,zywotnie,0.04,y,unstressed
PL01,niebo,0.0551,e,stressed
PL01,bywalec,0.0546,y,unstressed
PL01,zimami,0.04,i,unstressed
PL01,mimo,0.0899,i,stressed
PL01,rzepa,0.0752,e,stressed
PL01,kuma,0.074,u,stressed
PL01,babochlop,0.0561,a,unstressed
PL01,rzepaku,0.0449,e,unstressed
PL01,zywo,0.09,y,stressed
PL01,nowo,0.125,o,stressed
PL01,sumo,0.0849,u,stressed
PL01,popa,0.0801,o,stressed
PL01,papa,0.0825,a,stressed
PL01,zima,0.0971,i,stressed
PL01,popada,0.0461,o,unstressed
PL01,cumowac,0.03,u,unstressed
PL01,bywa,0.057,y,stressed
PL01,kumaty,0.0328,u,unstressed
PL01,nieborak,0.03,e,unstressed
PL01,papaja,0.0485,a,unstressed
PL01,mimoza,0.06,i,unstressed
PL01,babo,0.1189,a,stressed
PL01,niebo,0.034,e,stressed
PL01,bywalec,0.0631,y,unstressed
PL01,zimami,0.05,i,unstressed
PL01,mimo,0.0826,i,stressed
PL01,rzepa,0.057,e,stressed
PL01,kuma,0.0388,u,stressed
PL01,babochlop,0.0489,a,unstressed
PL01,rzepaku,0.0461,e,unstressed
PL01,zywo,0.047,y,stressed
PL01,nowo,0.0497,o,stressed
PL01,sumo,0.0315,u,stressed
PL01,popa,0.0419,o,stressed
PL01,papa,0.0594,a,stressed
PL01,zima,0.0439,i,stressed
PL01,popada,0.0376,o,unstressed
PL01,cumowac,0.0316,u,unstressed
PL01,bywa,0.0522,y,stressed
PL01,kumaty,0.0291,u,unstressed
PL01,papaja,0.0513,a,unstressed
PL01,mimoza,0.046,i,unstressed
PL01,babo,0.0891,a,stressed
PL01,zywotnie,0.03,y,unstressed
PL01,niebo,0.04,e,stressed
PL01,bywalec,0.0534,y,unstressed
PL01,mimo,0.05,i,stressed
PL01,rzepa,0.0461,e,stressed
PL01,kuma,0.0297,u,stressed
PL01,babochlop,0.0667,a,unstressed
PL01,zywo,0.05,y,stressed
PL01,nowo,0.0437,o,stressed
PL01,sumo,0.0376,u,stressed
PL01,popa,0.0412,o,stressed
PL01,papa,0.0534,a,stressed
PL01,zima,0.0206,i,stressed
PL01,popada,0.0315,o,unstressed
PL01,cumowac,0.04,u,unstressed
PL01,bywa,0.0534,y,stressed
PL01,nieborak,0.0234,e,unstressed
PL01,papaja,0.0376,a,unstressed
PL01,mimoza,0.03,i,unstressed
PL01,babo,0.0686,a,stressed
PL01,zywotnie,0.0328,y,unstressed
PL01,niebo,0.03,e,stressed
PL01,mimo,0.051,i,stressed
PL02,nieborak,0.05,e,unstressed
PL02,babochlop,0.0664,a,unstressed
PL02,popada,0.0497,o,unstressed
PL02,popa,0.1043,o,stressed
PL02,bywa,0.1338,y,stressed
PL02,nowo,0.1453,o,stressed
PL02,cumowac,0.0497,u,unstressed
PL02,zywo,0.1174,y,stressed
PL02,sumo,0.1116,u,stressed
PL02,papaja,0.0631,a,unstressed
PL02,zywotnie,0.04,y,unstressed
PL02,kuma,0.0837,u,stressed
PL02,kumaty,0.06,u,unstressed
PL02,papa,0.1074,a,stressed
PL02,zimami,0.042,i,unstressed
PL02,mimo,0.0958,i,stressed
PL02,rzepaku,0.0607,e,unstressed
PL02,niebo,0.0655,e,stressed
PL02,zima,0.057,i,stressed
PL02,mimoza,0.0497,i,unstressed
PL02,bywalec,0.0664,y,unstressed
PL02,rzepa,0.1201,e,stressed
PL02,babo,0.1486,a,stressed
PL02,nieborak,0.0364,e,unstressed
PL02,babochlop,0.0602,a,unstressed
PL02,popada,0.0485,o,unstressed
PL02,popa,0.1031,o,stressed
PL02,bywa,0.12,y,stressed
PL02,nowo,0.1294,o,stressed
PL02,cumowac,0.0752,u,unstressed
PL02,zywo,0.108,y,stressed
PL02,sumo,0.1052,u,stressed
PL02,papaja,0.0558,a,unstressed
PL02,zywotnie,0.0618,y,unstressed
PL02,kuma,0.0924,u,stressed
PL02,kumaty,0.0485,u,unstressed
PL02,papa,0.1153,a,stressed
PL02,zimami,0.0534,i,unstressed
PL02,mimo,0.1116,i,stressed
PL02,rzepaku,0.0579,e,unstressed
PL02,niebo,0.0752,e,stressed
PL02,zima,0.0692,i,stressed
PL02,mimoza,0.0437,i,unstressed
PL02,bywalec,0.07,y,unstressed
PL02,rzepa,0.1,e,stressed
PL02,babo,0.1322,a,stressed
PL02,babochlop,0.0414,a,unstressed
PL02,popada,0.037,o,unstressed
PL02,popa,0.0582,o,stressed
PL02,bywa,0.0978,y,stressed
PL02,nowo,0.091,o,stressed
PL02,cumowac,0.04,u,unstressed
PL02,zywo,0.08,y,stressed
PL02,sumo,0.0606,u,stressed
PL02,papaja,0.0473,a,unstressed
PL02,zywotnie,0.0522,y,unstressed
PL02,kuma,0.0506,u,stressed
PL02,kumaty,0.034,u,unstressed
PL02,papa,0.0849,a,stressed
PL02,zimami,0.0688,i,unstressed
PL02,mimo,0.0655,i,stressed
PL02,rzepaku,0.0446,e,unstressed
PL02,niebo,0.0425,e,stressed
PL02,zima,0.0604,i,stressed
PL02,mimoza,0.0698,i,unstressed
PL02,bywalec,0.0534,y,unstressed
PL02,rzepa,0.0704,e,stressed
PL02,babo,0.0873,a,stressed
PL02,nieborak,0.0328,e,unstressed
PL02,babochlop,0.06,a,unstressed
PL02,popada,0.0352,o,unstressed
PL02,popa,0.0497,o,stressed
PL02,bywa,0.09,y,stressed
PL02,nowo,0.072,o,stressed
PL02,cumowac,0.0412,u,unstressed
PL02,sumo,0.0761,u,stressed
PL02,papaja,0.04,a,unstressed
PL02,zywotnie,0.0473,y,unstressed
PL02,kuma,0.0449,u,stressed
PL02,kumaty,0.0425,u,unstressed
PL02,papa,0.0776,a,stressed
PL02,zimami,0.0315,i,unstressed
PL02,mimo,0.0752,i,stressed
PL02,rzepaku,0.0449,e,unstressed
PL02,niebo,0.0526,e,stressed
PL02,zima,0.0468,i,stressed
PL02,mimoza,0.0592,i,unstressed
PL02,bywalec,0.0504,y,unstressed
PL02,rzepa,0.0747,e,stressed
PL02,babo,0.1031,a,stressed
PL02,nieborak,0.04,e,unstressed
PL02,babochlop,0.05,a,unstressed
PL02,popa,0.0449,o,stressed
PL02,bywa,0.06,y,stressed
PL02,nowo,0.0657,o,stressed
PL02,cumowac,0.0437,u,unstressed
PL02,zywo,0.06,y,stressed
PL02,sumo,0.0473,u,stressed
PL02,papaja,0.0376,a,unstressed
PL02,kuma,0.0412,u,stressed
PL02,kumaty,0.0409,u,unstressed
PL02,papa,0.057,a,stressed
PL02,zimami,0.04,i,unstressed
PL02,mimo,0.0728,i,stressed
PL02,rzepaku,0.0353,e,unstressed
PL02,niebo,0.0427,e,stressed
PL02,zima,0.037,i,stressed
PL02,mimoza,0.0655,i,unstressed
PL02,bywalec,0.0655,y,unstressed
PL02,rzepa,0.0667,e,stressed
PL02,babo,0.061,a,stressed
PL02,nieborak,0.0394,e,unstressed
PL02,babochlop,0.0437,a,unstressed
PL02,popada,0.0425,o,unstressed
PL02,popa,0.051,o,stressed
PL02,bywa,0.0746,y,stressed
PL02,nowo,0.07,o,stressed
PL02,cumowac,0.0436,u,unstressed
PL02,zywo,0.04,y,stressed
PL02,sumo,0.0585,u,stressed
PL02,papaja,0.0388,a,unstressed
PL02,kuma,0.0386,u,stressed
PL02,kumaty,0.0436,u,unstressed
PL02,papa,0.0631,a,stressed
PL02,zimami,0.0461,i,unstressed
PL02,mimo,0.0692,i,stressed
PL02,rzepaku,0.0461,e,unstressed
PL02,niebo,0.056,e,stressed
PL02,zima,0.05,i,stressed
PL02,mimoza,0.0449,i,unstressed
PL02,bywalec,0.0728,y,unstressed
PL02,rzepa,0.0558,e,stressed
PL02,babo,0.07,a,stressed
PL03,rzepa,0.0922,e,stressed
PL03,nieborak,0.069,e,unstressed
PL03,babo,0.1383,a,stressed
PL03,kumaty,0.0679,u,unstressed
PL03,papa,0.0995,a,stressed
PL03,mimoza,0.0861,i,unstressed
PL03,zima,0.07,i,stressed
PL03,popa,0.0958,o,stressed
PL03,sumo,0.1022,u,stressed
PL03,zimami,0.09,i,unstressed
PL03,bywa,0.11,y,stressed
PL03,papaja,0.0752,a,unstressed
PL03,babochlop,0.0953,a,unstressed
PL03,mimo,0.109,i,stressed
PL03,popada,0.0667,o,unstressed
PL03,zywotnie,0.0847,y,unstressed
PL03,rzepaku,0.074,e,unstressed
PL03,zywo,0.12,y,stressed
PL03,kuma,0.08,u,stressed
PL03,nowo,0.1372,o,stressed
PL03,niebo,0.0685,e,stressed
PL03,bywalec,0.09,y,unstressed
PL03,cumowac,0.0656,u,unstressed
PL03,rzepa,0.0801,e,stressed
PL03,nieborak,0.0679,e,unstressed
PL03,babo,0.1334,a,stressed
PL03,kumaty,0.0655,u,unstressed
PL03,papa,0.1031,a,stressed
PL03,mimoza,0.0764,i,unstressed
PL03,zima,0.0946,i,stressed
PL03,popa,0.0934,o,stressed
PL03,sumo,0.1068,u,stressed
PL03,zimami,0.06,i,unstressed
PL03,bywa,0.1021,y,stressed
PL03,papaja,0.0764,a,unstressed
PL03,babochlop,0.0898,a,unstressed
PL03,mimo,0.1068,i,stressed
PL03,popada,0.0679,o,unstressed
PL03,zywotnie,0.0946,y,unstressed
PL03,rzepaku,0.0789,e,unstressed
PL03,zywo,0.1116,y,stressed
PL03,kuma,0.1008,u,stressed
PL03,nowo,0.13,o,stressed
PL03,niebo,0.0789,e,stressed
PL03,bywalec,0.0938,y,unstressed
PL03,cumowac,0.0594,u,unstressed
PL03,rzepa,0.0722,e,stressed
PL03,nieborak,0.0433,e,unstressed
PL03,babo,0.1302,a,stressed
PL03,kumaty,0.06,u,unstressed
PL03,papa,0.0764,a,stressed
PL03,mimoza,0.0758,i,unstressed
PL03,zima,0.0982,i,stressed
PL03,popa,0.0813,o,stressed
PL03,sumo,0.0728,u,stressed
PL03,bywa,0.0898,y,stressed
PL03,papaja,0.0631,a,unstressed
PL03,babochlop,0.0842,a,unstressed
PL03,mimo,0.1,i,stressed
PL03,popada,0.0546,o,unstressed
PL03,zywotnie,0.0594,y,unstressed
PL03,rzepaku,0.0511,e,unstressed
PL03,zywo,0.0777,y,stressed
PL03,kuma,0.0807,u,stressed
PL03,nowo,0.1165,o,stressed
PL03,niebo,0.0667,e,stressed
PL03,cumowac,0.0483,u,unstressed
PL03,rzepa,0.0724,e,stressed
PL03,nieborak,0.0532,e,unstressed
PL03,babo,0.1304,a,stressed
PL03,kumaty,0.04,u,unstressed
PL03,papa,0.083,a,stressed
PL03,mimoza,0.09,i,unstressed
PL03,zima,0.12,i,stressed
PL03,popa,0.0756,o,stressed
PL03,sumo,0.07,u,stressed
PL03,bywa,0.0904,y,stressed
PL03,papaja,0.0681,a,unstressed
PL03,babochlop,0.0793,a,unstressed
PL03,mimo,0.0837,i,stressed
PL03,popada,0.0558,o,unstressed
PL03,zywotnie,0.05,y,unstressed
PL03,rzepaku,0.0515,e,unstressed
PL03,zywo,0.07,y,stressed
PL03,kuma,0.07,u,stressed
PL03,nowo,0.09,o,stressed
PL03,niebo,0.06,e,stressed
